age,mx,qx,lx,dx,ex,sex
4,0.000087,0.000087,99527.2,8.7,75.65,M
5,0.000076,0.000076,99518.5,7.5,74.65,M
6,0.000085,0.000085,99511,8.4,73.66,M
7,0.000069,0.000069,99502.6,6.9,72.67,M
8,0.000066,0.000066,99495.7,6.6,71.67,M
9,0.000062,0.000062,99489.1,6.1,70.68,M
10,0.000076,0.000076,99483,7.6,69.68,M
11,0.000076,0.000076,99475.4,7.6,68.69,M
12,0.000103,0.000103,99467.8,10.2,67.69,M
13,0.000118,0.000118,99457.5,11.7,66.7,M
14,0.000125,0.000124,99445.9,12.4,65.71,M
15,0.000167,0.000167,99433.5,16.7,64.71,M
16,0.00019,0.00019,99416.8,18.9,63.72,M
17,0.000279,0.000279,99398,27.7,62.74,M
18,0.000376,0.000376,99370.3,37.3,61.75,M
19,0.000424,0.000424,99332.9,42.1,60.78,M
20,0.000521,0.000521,99290.8,51.7,59.8,M
21,0.000478,0.000478,99239.1,47.4,58.83,M
22,0.000466,0.000466,99191.7,46.2,57.86,M
23,0.000484,0.000484,99145.5,47.9,56.89,M
24,0.000513,0.000512,99097.6,50.8,55.92,M
25,0.000543,0.000543,99046.8,53.8,54.94,M
26,0.000574,0.000574,98993,56.8,53.97,M
27,0.000595,0.000594,98936.2,58.8,53,M
28,0.000631,0.000631,98877.3,62.4,52.03,M
29,0.000662,0.000661,98814.9,65.4,51.07,M
30,0.000729,0.000728,98749.6,71.9,50.1,M
31,0.000795,0.000795,98677.7,78.4,49.14,M
32,0.00079,0.000789,98599.2,77.8,48.18,M
33,0.000893,0.000893,98521.4,88,47.21,M
34,0.000924,0.000924,98433.4,90.9,46.26,M
35,0.001016,0.001016,98342.5,99.9,45.3,M
36,0.00105,0.001049,98242.6,103.1,44.34,M
37,0.001272,0.001271,98139.6,124.8,43.39,M
38,0.001232,0.001231,98014.8,120.7,42.44,M
39,0.001381,0.001381,97894.1,135.1,41.5,M
40,0.001513,0.001512,97759,147.8,40.55,M
41,0.001585,0.001583,97611.1,154.6,39.61,M
42,0.001742,0.001741,97456.6,169.6,38.67,M
43,0.001902,0.001901,97286.9,184.9,37.74,M
44,0.002089,0.002087,97102,202.6,36.81,M
45,0.002342,0.002339,96899.4,226.7,35.89,M
46,0.002492,0.002489,96672.8,240.6,34.97,M
