"","Cost_NoTrt","Cost_Trt","QALY_NoTrt","QALY_Trt","ICER","inc_cost","inc_QALY"
"1",97051.6982878931,97402.0399413473,18.8388171074629,19.3390625728929,700.339488640905,350.341653454147,0.500245465429956
"2",78707.2958748546,79025.4509700582,16.3637222636241,17.1902994623802,384.90669193676,318.155095203576,0.82657719875613
"3",81909.5118407893,82201.7962899585,16.5595246342607,17.205940439844,452.161668456441,292.284449169194,0.646415805583377
"4",81633.5288203511,81941.1284165511,16.087430821252,16.8143198813416,423.172686299713,307.599596200002,0.726889060089629
"5",86265.1952606053,86577.7047374798,16.9484560171703,17.4100501792861,677.022160423481,312.509476874504,0.461594162115798
"6",97365.7332687374,97674.4718626858,18.2651233394791,18.8101701928613,566.444136008781,308.738593948365,0.545046853382164
"7",100043.706117386,100449.778227894,17.7306379420518,18.4594261082769,557.188123142487,406.072110507419,0.728788166225101
"8",118815.85167575,119261.860627266,16.3164166870352,17.1061944886397,564.727130352258,446.008951516051,0.789777801604547
"9",109802.782494415,110153.481079144,16.8981306276763,17.4748329132084,608.110273754167,350.698584729631,0.576702285532185
"10",79442.8224781637,79754.42301507,17.1132720283698,17.8961295322265,398.029699365747,311.600536906306,0.782857503856711
"11",101147.847246549,101502.774045841,17.9842104219196,18.5763001970538,599.447607775345,354.926799292429,0.592089775134184
"12",94264.4665723252,94598.7216850599,17.3855203152808,18.0765351670128,483.716249942935,334.255112734681,0.69101485173201
"13",89379.7377761074,89682.333458311,18.0347495533694,18.485066040839,671.962254599988,302.595682203624,0.450316487469607
"14",114556.926226762,114925.911496155,18.7170091944204,19.2645423918554,673.904835582769,368.985269393597,0.547533197435083
"15",117941.440122852,118369.674857799,19.5881297505036,20.31224765667,591.388130717832,428.234734947066,0.724117906166413
"16",102161.631985288,102546.17630634,17.169699727617,17.841375177324,572.515075873886,384.544321051668,0.671675449707067
"17",92067.6765406866,92394.5847884166,17.5423272495065,18.0668277198141,623.275413915777,326.908247729967,0.524500470307565
"18",79173.7896653862,79422.0650839742,16.5702813581235,17.1000603309098,468.639623959018,248.275418587931,0.529778972786225
"19",81808.907925393,82073.9557239296,19.2159492815506,19.7325790548573,513.032372950909,265.047798536631,0.516629773306708
"20",105332.376672576,105678.889032741,18.8383667184339,19.4333039397711,582.435167505399,346.512360164765,0.594937221337261
"21",76047.4366459335,76372.4762050921,16.0875438111437,16.8542494268729,423.943104746193,325.039559158598,0.766705615729247
"22",70519.05393275,70770.2652349367,15.8465619908718,16.2872248105862,570.076010382559,251.211302186712,0.440662819714396
"23",101662.070174312,101967.428186221,19.3623117746152,19.8001739651316,697.383831085173,305.35801190963,0.437862190516338
"24",103008.677669211,103363.041958791,17.4921331694197,18.0477724907068,637.759560931273,354.364289580204,0.555639321287089
"25",84686.5354229038,85042.3656636069,15.475899726749,16.0576735239893,611.629885001764,355.830240703144,0.581773797240333
"26",90266.9491944179,90619.1528114134,18.1318828100783,18.8719189340851,475.927600788687,352.20361699551,0.740036124006789
"27",96325.4278026401,96616.8186540918,19.4879558679688,20.0172348135012,550.543062238259,291.390851451666,0.52927894553244
"28",109236.027525252,109614.482853514,18.709593059806,19.3697850353433,573.250421521507,378.455328261873,0.660191975537298
"29",83045.8418364714,83325.7245844106,17.2345082990267,17.8231879077208,475.441553955066,279.882747939177,0.588679608694086
"30",89735.6784297786,90088.2646168894,17.9594525163364,18.5928036717463,556.699366692707,352.586187110806,0.633351155409937
"31",67341.2692085459,67556.2274138454,16.2954435101612,16.7698842941615,453.076996220632,214.958205299408,0.474440784000279
"32",89569.8786386563,89914.8495541144,16.054593966021,16.6306460019506,598.853738797008,344.970915458078,0.576052035929614
"33",110764.519239047,111175.10306707,17.4248991774575,18.2258421530624,512.625543301515,410.583828022995,0.800942975604901
"34",85644.3923832596,85964.063640405,18.6184486945348,19.2205207936582,530.951787353819,319.671257145441,0.602072099123411
"35",111839.243396789,112261.465601089,17.0499239921973,17.9297601882522,479.887286058116,422.222204300459,0.87983619605485
"36",78256.8750087715,78545.4849369323,17.4031293917403,18.0665345868406,435.043213849352,288.609928160789,0.663405195100296
"37",75230.5606075711,75467.5119619847,17.350779990141,17.9502423713067,395.273101129165,236.951354413613,0.599462381165633
"38",108030.390755386,108435.001285802,16.93580238961,17.6510793372558,565.669747568612,404.610530416438,0.715276947645783
"39",99607.1502455275,99967.2576521388,18.2484718677808,18.8716528090002,577.853690304798,360.107406611263,0.623180941219427
"40",145653.740627652,146138.644585782,18.8000088758269,19.5283528668742,665.762282782541,484.903958130628,0.728343991047346
"41",96570.213116998,96948.0387256013,17.5137907536165,18.1451071423292,598.472676075758,377.82560860338,0.631316388712712
"42",91832.6595973636,92129.1556951617,17.6668916805561,18.3335805552517,444.729331854372,296.496097798125,0.666688874695616
"43",75539.7412393128,75848.2981449872,15.9924447501212,16.6915420405524,441.364756948251,308.55690567437,0.699097290431251
"44",87230.9509304017,87546.126976117,15.9687812406577,16.6881954380219,438.100953345201,315.176045715343,0.719414197364234
"45",88856.0162276652,89195.2809463056,18.3232360934309,19.0555146394911,463.300093203174,339.264718640377,0.732278546060204
"46",110058.667976599,110449.438784859,17.2941318665685,17.9849729868235,565.644975094147,390.77080826064,0.69084112025498
"47",92515.423923975,92862.902804293,15.0983508360509,15.7359421860312,544.986816914536,347.478880318042,0.637591349980367
"48",99923.4637077115,100275.003343683,17.6005030181869,18.4031304601734,437.986066239561,351.539635971596,0.802627441986516
"49",117478.636271166,117917.619086793,18.176630234614,18.835759856181,666.003774164646,438.982815627372,0.659129621567054
